GROCERY CHEETOS BOLD CHS 1 @ 3/$5.00
SELECTION MAC-CH
NEAT LEAN GROUND BEEF
PRODUCE SL.CREHINI HUSHR
GRAPE GREEN SDLS
BROCCOLI LOCAL
GREEN ONION
TOM.RED HOTHOUSE
DELI PI COOKD CHICK.B
FROZEN FOOD HAAGEN CHOC.PEAN H
HCCAIN F.FRI.FRZ
DAIRY BEATR.1% HILK
SELECTION CH.BL.
IRRS.0 PLAIN GR
FAIRLIFE L.F.2%
